Date,Value,USD (PM),Bitcoin % Change,Gold % Change
2016-09-11,621.65,,,
2016-09-12,609.67,1324.6,-0.019271294136572057,
2016-09-13,610.92,1323.65,0.002050289500877524,-0.0007171976445718089
2016-09-14,608.82,1321.75,-0.003437438617167402,-0.0014354247724096935
2016-09-15,610.38,1310.8,0.0025623336946879955,-0.008284471344808053
2016-09-16,609.11,1308.35,-0.0020806710573740652,-0.001869087580103788
2016-09-17,607.04,1310.5166666666667,-0.0033984009456420844,0.0016560298594922938
2016-09-18,611.58,1312.6833333333332,0.007478914074855162,0.0016532919586421501
2016-09-19,610.19,1314.85,-0.002272801595866422,0.0016505630959485604
2016-09-20,608.66,1313.8,-0.002507415722971675,-0.0007985701791078485
2016-09-21,598.88,1326.1,-0.016068083987776382,0.009362155579235771
2016-09-22,597.42,1339.1,-0.0024378840502271514,0.009803182263781013
2016-09-23,594.08,1338.65,-0.005590706705500182,-0.00033604659846151754
2016-09-24,603.88,1339.2666666666667,0.016496094802046786,0.00046066310586528257
2016-09-25,601.74,1339.8833333333334,-0.003543750413989512,0.00046045099308088104
2016-09-26,598.98,1340.5,-0.004586698574134993,0.0004602390755413236
2016-09-27,605.96,1327.0,0.011653143677585258,-0.010070869078701977
2016-09-28,605.67,1322.5,-0.00047857944418786273,-0.003391107761868877
2016-09-29,603.85,1318.1,-0.0030049366816912453,-0.0033270321361059288
2016-09-30,609.39,1322.5,0.009174463856918048,0.0033381382292694724
2016-10-01,614.82,1319.4333333333334,0.008910549894156556,-0.002318840579710099
2016-10-02,612.98,1316.3666666666666,-0.002992745844312208,-0.0023242300987799053
2016-10-03,611.85,1313.3,-0.0018434532937453023,-0.0023296447291787543
2016-10-04,609.62,1283.3,-0.0036446841546130884,-0.02284321937105003
2016-10-05,607.18,1269.4,-0.004002493356517264,-0.010831450167536713
2016-10-06,612.08,1254.5,0.00807009453539328,-0.011737828895541272
2016-10-07,617.21,1258.75,0.008381257351980125,0.003387803905938621
2016-10-08,614.74,1259.0,-0.004001879425155177,0.00019860973187686197
2016-10-09,615.65,1259.25,0.0014803006148940497,0.00019857029388403494
2016-10-10,617.54,1259.5,0.00306992609437178,0.0001985308715505261
2016-10-11,614.77,1253.45,-0.004485539398257574,-0.004803493449781623
2016-10-12,635.01,1256.5,0.032922881728125984,0.0024332841357851964
2016-10-13,635.96,1261.05,0.0014960394324499543,0.0036211699164345043
2016-10-14,634.02,1251.75,-0.003050506321152359,-0.007374806708695099
2016-10-15,637.94,1252.7666666666667,0.0061827702596133766,0.0008121962585713213
2016-10-16,641.42,1253.7833333333333,0.005455058469448387,0.0008115371311497099
2016-10-17,638.97,1254.8,-0.003819650151226859,0.0008108790726733632
2016-10-18,636.29,1258.2,-0.004194250121289049,0.0027095951546063845
2016-10-19,629.25,1269.05,-0.011064137421615874,0.008623430297249967
2016-10-20,627.72,1271.65,-0.0024314660309892296,0.0020487766439463667
2016-10-21,631.92,1266.05,0.006690881284649098,-0.004403727440726722
2016-10-22,655.48,1265.8833333333332,0.037283200405114666,-0.0001316430367416314
2016-10-23,653.25,1265.7166666666667,-0.003402087020198966,-0.00013166036891223396
2016-10-24,651.39,1265.55,-0.0028473019517795844,-0.00013167770564771668
2016-10-25,655.31,1269.4,0.006017900182686193,0.003042155584528574
2016-10-26,651.45,1270.5,-0.005890341975553402,0.0008665511265163928
2016-10-27,682.22,1266.25,0.04723309540256348,-0.0033451397087760726
2016-10-28,687.68,1273.0,0.008003283398317145,0.005330700888450148
2016-10-29,685.91,1272.6666666666667,-0.0025738715681712164,-0.0002618486514793853
2016-10-30,698.0,1272.3333333333333,0.01762621918327482,-0.00026191723415412645
2016-10-31,702.0,1272.0,0.0057306590257879654,-0.0002619858527638912
2016-11-01,697.01,1288.45,-0.007108262108262121,0.012932389937106954
2016-11-02,733.33,1303.75,0.052108291129252166,0.011874733206565994
2016-11-03,686.17,1301.0,-0.06430938322446932,-0.002109300095877277
2016-11-04,683.69,1302.8,-0.0036142646865935622,0.0013835511145272518
2016-11-05,704.79,1296.2166666666667,0.030861940353083865,-0.005053218708422826
2016-11-06,712.0,1289.6333333333332,0.010229997587934046,-0.005078883417124312
2016-11-07,709.96,1283.05,-0.0028651685393257915,-0.00510481015275654
2016-11-08,708.97,1282.35,-0.0013944447574511366,-0.0005455749970773123
2016-11-09,720.93,1281.4,0.01686954314004813,-0.0007408273872186363
2016-11-10,721.5,1267.5,0.0007906454163373005,-0.01084751053535203
2016-11-11,715.45,1236.45,-0.008385308385308323,-0.02449704142011831
2016-11-12,703.71,1228.8333333333333,-0.016409252917744088,-0.006160108913960765
2016-11-13,702.28,1221.2166666666667,-0.002032087081326205,-0.006198291061982825
2016-11-14,706.46,1213.6,0.00595204192060156,-0.006236949490262543
2016-11-15,710.91,1226.95,0.006299011975200198,0.011000329597890686
2016-11-16,711.73,1229.2,0.0011534512104205174,0.001833815558906231
2016-11-17,736.96,1226.75,0.035448835934975366,-0.0019931662870159824
2016-11-18,747.52,1211.0,0.014329135909682947,-0.012838801711840228
2016-11-19,748.98,1212.0833333333333,0.0019531250000000486,0.0008945774841727973
2016-11-20,729.06,1213.1666666666667,-0.026596170792277593,0.0008937779305604551
2016-11-21,738.53,1214.25,0.012989328724659188,0.0008929798049181955
2016-11-22,736.97,1212.25,-0.0021123041718006655,-0.0016471072678608193
2016-11-23,741.63,1185.35,0.006323188189478497,-0.022190142297380977
2016-11-24,737.45,1186.1,-0.005636233701441352,0.0006327245117475852
2016-11-25,735.64,1187.7,-0.0024544036883857334,0.0013489587724476323
2016-11-26,733.67,1187.4666666666667,-0.0026779402968843827,-0.0001964581403833868
2016-11-27,727.96,1187.2333333333333,-0.007782790627938887,-0.0001964967437682589
2016-11-28,727.31,1187.0,-0.0008929062036376874,-0.00019653536232699145
2016-11-29,732.71,1186.55,0.007424619488251353,-0.00037910699241789844
2016-11-30,742.69,1178.1,0.013620668477296635,-0.007121486663014661
2016-12-01,742.05,1161.85,-0.0008617323513176427,-0.013793396146337324
2016-12-02,772.43,1173.5,0.040940637423354215,0.010027111933554324
2016-12-03,764.33,1169.7333333333333,-0.010486387115984503,-0.003209771339298382
2016-12-04,762.97,1165.9666666666667,-0.0017793361506155895,-0.0032201071469280616
2016-12-05,754.63,1162.2,-0.01093096714156524,-0.0032305097344120627
2016-12-06,756.62,1172.5,0.0026370539204643457,0.008862502151092716
2016-12-07,758.99,1177.65,0.0031323517749993453,0.004392324093816708
2016-12-08,769.72,1171.05,0.014137208658875635,-0.005604381607438659
2016-12-09,770.02,1163.6,0.0003897521176531135,-0.00636181204901588
2016-12-10,769.08,1161.1,-0.0012207475130515324,-0.002148504640770024
2016-12-11,777.0,1158.6,0.010298018411608621,-0.0021531306519679615
2016-12-12,777.0,1156.1,0.0,-0.002157776626963577
2016-12-13,777.99,1158.55,0.0012741312741312858,0.0021191938413632435
2016-12-14,774.89,1162.25,-0.00398462705176162,0.0031936472314531487
2016-12-15,776.75,1126.95,0.0024003406935178074,-0.030372123037212265
2016-12-16,775.88,1131.6,-0.0011200514966205402,0.004126181285771208
2016-12-17,788.7,1133.1499999999999,0.01652317368665264,0.001369741958289108
2016-12-18,788.4,1134.7,-0.0003803727653100903,0.0013678683316420439
2016-12-19,788.67,1136.25,0.0003424657534246345,0.0013659998237419181
2016-12-20,793.09,1125.7,0.005604371917278549,-0.009284928492849245
2016-12-21,824.21,1133.65,0.03923892622527078,0.007062272363862526
2016-12-22,834.97,1131.35,0.013054925322429951,-0.002028844881577367
2016-12-23,901.31,1131.8916666666667,0.07945195635771335,0.0004787790397902882
2016-12-24,891.61,1132.4333333333332,-0.0107621129245209,0.00047854992011884097
2016-12-25,892.6,1132.975,0.0011103509381904747,0.00047832101963330516
2016-12-26,897.33,1133.5166666666667,0.0052991261483307395,0.0004780923380187052
2016-12-27,930.37,1134.0583333333332,0.03682034480068644,0.0004778638749612696
2016-12-28,930.34,1134.6,-3.2245235766386185e-05,0.00047763563014842787
2016-12-29,963.38,1145.9,0.03551389814476424,0.009959457077384262
2016-12-30,952.15,1146.92,-0.01165687475347217,0.0008901300287983085
