Date,Value,USD (PM),Bitcoin % Change,Gold % Change,Bitcoin % Naive Prediction (1 Days),Bitcoin % Naive Prediction (3 Days),Bitcoin % Naive Prediction (5 Days),Bitcoin % Naive Prediction (10 Days),30-day Bitcoin SMA,30-day Gold SMA,30-day Bitcoin rolling standard deviation,30-day Gold rolling standard deviation,30-day Bitcoin upper bolling bands,30-day Bitcoin lower bolling bands,30-day Gold upper bolling bands,20-day Gold lower bolling bands,Bitcoin KAMA,Gold KAMA,Bitcoin PSY,Gold PSY,Bitcoin MACD Histogram,Gold MACD Histogram,Bitcoin Momentum,Gold Momentum,Bitcoin RSI,Gold RSI,RAT
2016-09-11,621.65,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-12,609.67,1324.6,-0.019271294136572,,,,,,,,,,,,,,,,,,,,,,,,46.026725049071416
2016-09-13,610.92,1323.65,0.0020502895008775,-0.0007171976445718,,,,,,,,,,,,,,,,,,,,,,,46.15419484002568
2016-09-14,608.82,1321.75,-0.0034374386171674,-0.0014354247724096,,,,,,,,,,,,,,,,,,,,,,,46.06166067713259
2016-09-15,610.38,1310.8,0.0025623336946879,-0.008284471344808,,,,,,,,,,,,,,,,,,,,,,,46.565456209948124
2016-09-16,609.11,1308.35,-0.002080671057374,-0.0018690875801037,,,,,,,,,,,,,,,,,,,,,,,46.55558527916842
2016-09-17,607.04,1310.5166666666669,-0.003398400945642,0.0016560298594922,,,,,,,,,,,,,,,,,,,,,,,46.320662334193884
2016-09-18,611.58,1312.6833333333332,0.0074789140748551,0.0016532919586421,,,,,,,,,,,,,,,,,,,,,,,46.590063610162396
2016-09-19,610.19,1314.85,-0.0022728015958664,0.0016505630959485,,,,,,,,,,,,,,,,,,,,,,,46.407575008556115
2016-09-20,608.66,1313.8,-0.0025074157229716,-0.0007985701791078,,,,,,,,,,,,,,,,,,,,,,,46.32820825087533
2016-09-21,598.88,1326.1,-0.0160680839877763,0.0093621555792357,,,,,,,,,,,,,598.88,,,,,,-22.769999999999982,,,,45.16099841640902
2016-09-22,597.42,1339.1,-0.0024378840502271,0.009803182263781,,,,,,,,,,,,,598.7129856506604,1339.1,,,,,-12.25,14.5,,,44.6135464117691
2016-09-23,594.08,1338.65,-0.0055907067055001,-0.0003360465984615,,,,,,,,,,,,,597.9200720206662,1339.0717928014387,,,,,-16.839999999999918,15.0,,,44.379038583647706
2016-09-24,603.88,1339.2666666666669,0.0164960948020467,0.0004606631058652,,,,,,,,,,,,,598.0462110224918,1339.087892806878,,,,,-4.940000000000055,17.51666666666688,,,45.09034795161531
2016-09-25,601.74,1339.8833333333334,-0.0035437504139895,0.0004604509930808,,,,,,,,,,,,,598.1998123405017,1339.318163773155,,,,,-8.639999999999986,29.083333333333485,31.636229477956096,,44.90988021345142
2016-09-26,598.98,1340.5,-0.0045866985741349,0.0004602390755413,,,,,,,,,,,,,598.238154613743,1339.765562196896,,,,,-10.129999999999995,32.15000000000009,29.991794126747113,65.46692607003911,44.683327116747485
2016-09-27,605.96,1327.0,0.0116531436775852,-0.0100708690787019,,,,,,,,,,,,,598.2868246814014,1338.778682149074,,,,,-1.0799999999999272,16.48333333333312,38.67360896455643,51.03243117125532,45.663903541823665
2016-09-28,605.67,1322.5,-0.0004785794441878,-0.0033911077618688,,,,,,,,,,,,,598.4634704392145,1338.2178997502483,,,,,-5.910000000000082,9.816666666666833,38.46020600604684,47.2895323310272,45.79735349716446
2016-09-29,603.85,1318.1,-0.0030049366816912,-0.0033270321361059,,,,,,,,,,,,,598.6017039728974,1338.0050864835137,,,,,-6.340000000000032,3.25,37.07742510005948,43.899192667262014,45.81215385782566
2016-09-30,609.39,1322.5,0.009174463856918,0.0033381382292694,,,,,,,,,,,,,598.6616248492105,1337.60409756001,,,,,0.7300000000000182,8.700000000000045,43.71155647818168,47.92017694338875,46.078638941398864
2016-10-01,614.82,1319.4333333333334,0.0089105498941565,-0.00231884057971,,,,,,,,,,,,,600.1859447197331,1337.1765421424125,,,,,15.940000000000055,-6.666666666666515,49.34851118008209,45.473801520120595,46.597276608645124
2016-10-02,612.98,1316.3666666666666,-0.0029927458443122,-0.0023242300987799,,,,,,,,,,,,,601.3305462510023,1332.905468896936,,,,,15.56000000000006,-22.73333333333335,47.60865289721412,43.104025986639456,46.566053024739816
2016-10-03,611.85,1313.3,-0.0018434532937453,-0.0023296447291787,,,,,,,,,,,,,602.6053420499527,1328.6149626380382,,,,,17.769999999999982,-25.350000000000136,46.52382575019298,40.813503749438404,46.58874590725654
2016-10-04,609.62,1283.3,-0.003644684154613,-0.02284321937105,,,,,,,,,,,,,602.83039110239,1314.1103036166553,,,,,5.740000000000009,-55.966666666666924,44.37489182693233,26.165356471662015,47.50409101535105
2016-10-05,607.18,1269.4,-0.0040024933565172,-0.0108314501675367,,,,,,,,,,,,,602.9591554295914,1298.4604500643977,,,,,5.439999999999941,-70.48333333333335,42.08435157536747,22.19125531623588,47.83204663620608
2016-10-06,612.08,1254.5,0.0080700945353932,-0.0117378288955412,,,,,,,,,,,,,603.8159019710453,1282.0613991826517,,,,,13.100000000000023,-86.0,47.90037509692668,18.88079303069206,48.79075328816262
2016-10-07,617.21,1258.75,0.0083812573519801,0.0033878039059386,,,,,,,,,,,,,604.902426444614,1275.139891139461,,,,,11.25,-68.25,53.19930859099004,22.435134614086937,49.033565044687194
2016-10-08,614.74,1259.0,-0.0040018794251551,0.0001986097318768,,,,,,,,,,,,,605.4245011718393,1270.523177380065,,,,,9.07000000000005,-63.5,50.534266281145044,22.649834826282728,48.82764098490866
2016-10-09,615.65,1259.25,0.001480300614894,0.000198570293884,,,,,,,,,,,,,606.2633670850814,1267.429765907939,,,,,11.799999999999955,-58.84999999999991,51.49828254296818,22.879725145139158,48.89021242803256
2016-10-10,617.54,1259.5,0.0030699260943717,0.0001985308715505,,,,,608.7180000000001,,6.296467756361208,6.296467756361208,621.3109355127225,596.1250644872777,,,606.8994348388121,1264.7236015534625,,,,,8.149999999999977,-63.0,53.52415586977275,23.125775992764204,49.03056768558952
2016-10-11,614.77,1253.45,-0.0044855393982575,-0.0048034934497816,,,,,608.4886666666666,1306.695,5.923454102611661,5.923454102611661,620.33557487189,596.6417584614433,1318.5419082052233,1294.8480917947766,606.9333947897915,1260.8335210191403,0.36666666666666664,,,,-0.05000000000006821,-65.98333333333335,50.21375550633373,21.35050560016276,49.04623239857992
2016-10-12,635.01,1256.5,0.0329228817281259,0.0024332841357851,0.0002393126487731,0.0039670392870903,0.0091812405735254,0.0168338641524314,609.3333333333334,1304.425,7.652165946851962,7.652165946851962,624.6376652270372,594.0290014396295,1319.7293318937038,1289.120668106296,610.6790287165177,1259.5743092405298,0.4,0.4666666666666667,,,22.029999999999973,-59.86666666666656,66.51186114629051,24.49724057965365,50.538002387584555
2016-10-13,635.96,1261.05,0.0014960394324499,0.0036211699164345,0.0006545558571815,0.0056771263480186,0.0066448966972529,0.0167878717184066,610.1679999999999,1302.3383333333334,9.066184765759886,9.066184765759886,628.3003695315197,592.0356304684801,1320.4707028648531,1284.2059638018136,614.623352695237,1259.9013224899206,0.4,0.5,,,24.110000000000014,-52.25,67.05697721978648,29.057277158876715,50.4309900479759
2016-10-14,634.02,1251.75,-0.0030505063211523,-0.007374806708695,0.0003335550427436,0.0047079622745513,0.0058992453850805,0.015967883169651,611.0079999999999,1300.005,10.05091912077767,10.05091912077767,631.1098382415553,590.9061617584446,1320.1068382415554,1279.9031617584449,617.7453183944858,1258.6018018523089,0.4,0.5,3.3346204601614824,,24.399999999999977,-31.549999999999955,64.73942451847786,25.64763320030113,50.6506890353505
2016-10-15,637.94,1252.7666666666669,0.0061827702596133,0.0008121962585713,0.0016943141818046,0.0049669966101646,0.007370569743216,0.0157357603311538,611.9266666666667,1298.0705555555553,11.186858155992665,11.186858155992665,634.300382978652,589.5529503546815,1320.4442718675407,1275.69683924357,622.3022189347128,1258.1014111306285,0.4,0.5333333333333333,3.377224911319485,-2.570641699480273,30.760000000000105,-16.633333333333212,67.20576045723583,26.66077619142606,50.9224915520315
2016-10-16,641.42,1253.7833333333333,0.0054550584694483,0.0008115371311497,0.0005099773406982,0.0044712573289871,0.0063464762642979,0.014629989862442,613.0036666666667,1296.2516666666666,12.396263753949102,12.396263753949102,637.7961941745649,588.2111391587686,1321.0441941745648,1271.4591391587683,626.5037549865815,1258.0745241709656,0.43333333333333335,0.5666666666666667,3.41737769621544,-1.8611139483356354,29.339999999999918,-0.716666666666697,69.2613015803066,27.721421638323605,51.1587594879498
2016-10-17,638.97,1254.8,-0.0038196501512268,0.0008108790726733,0.0010447278618812,0.0044667944312095,0.010036539286375,0.0142837166786193,614.068,1294.3944444444446,13.210568235448838,13.210568235448838,640.4891364708976,587.6468635291023,1320.8155809153423,1267.973307973547,628.341409865221,1257.9974375426352,0.43333333333333335,0.5666666666666667,3.067661307388688,-1.0988547220430576,21.75999999999999,-3.9500000000000455,66.11914821313746,28.829872260294852,50.9220592923175
